date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:59	63/63	---M--	200	added ('OK')	text/plain	etag:%223f-67f8ba10-cb86fc2276233b42;;;%22	https://ltsu.ac.in/robots.txt		(from )
19:01:00	142846/142846	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2013:31:01%20GMT	https://ltsu.ac.in/	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/ltsu.ac.in/index.html	(from )
19:01:00	1918/1918	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2013:31:01%20GMT	https://ltsu.ac.in/GET	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/ltsu.ac.in/GET	(from https://ltsu.ac.in/)
19:01:01	3736/3736	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202026%2013:31:02%20GMT	https://www.ltsu.ac.in/?debugbar	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/index0880.html	(from https://ltsu.ac.in/)
19:01:01	254511/254511	---M-Z	200	added ('OK')	text/css	etag:%223e22f-66066a56-86b126fb7d938a9c;gz%22	https://www.ltsu.ac.in/assets/frontend/css/bootstrap.min.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/bootstrap.min.css	(from https://ltsu.ac.in/)
19:01:01	2604/2604	---M-Z	200	added ('OK')	text/css	etag:%22a2c-65fd84ea-b8e76aa719c392ec;gz%22	https://www.ltsu.ac.in/assets/frontend/css/meanmenu.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/meanmenu.css	(from https://ltsu.ac.in/)
19:01:01	3352/3352	---M-Z	200	added ('OK')	text/css	etag:%22d18-65fd84ea-968b76565b2a5c53;gz%22	https://www.ltsu.ac.in/assets/frontend/css/owl.carousel.min.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/owl.carousel.min.css	(from https://ltsu.ac.in/)
19:01:01	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-65fd84ea-76cba2235e70fcd5;gz%22	https://www.ltsu.ac.in/assets/frontend/css/owl.theme.default.min.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/owl.theme.default.min.css	(from https://ltsu.ac.in/)
19:01:01	5236/5236	---M-Z	200	added ('OK')	text/css	etag:%221474-65fd84ea-5725c8aadd42849c;gz%22	https://www.ltsu.ac.in/assets/frontend/css/magnific-popup.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/magnific-popup.css	(from https://ltsu.ac.in/)
19:01:02	2648/2648	---M-Z	200	added ('OK')	text/css	etag:%22a58-65fd84ea-8d77d56bbdf73839;gz%22	https://www.ltsu.ac.in/assets/frontend/css/flaticon.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/flaticon.css	(from https://ltsu.ac.in/)
19:01:02	96423/96423	---M-Z	200	added ('OK')	text/css	etag:%22178a7-65fd84ea-89c6f2356466863f;gz%22	https://www.ltsu.ac.in/assets/frontend/css/remixicon.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/remixicon.css	(from https://ltsu.ac.in/)
19:01:02	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-65fd84ea-ca12e0c1b184b3e6;gz%22	https://www.ltsu.ac.in/assets/frontend/css/odometer.min.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/odometer.min.css	(from https://ltsu.ac.in/)
19:01:03	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-65fd84ea-4e62c990c62e6f8;gz%22	https://www.ltsu.ac.in/assets/frontend/css/aos.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/aos.css	(from https://ltsu.ac.in/)
19:01:03	180197/180197	---M-Z	200	added ('OK')	text/css	etag:%222bfe5-6a05a1fc-ebfcb9a579789f99;gz%22	https://www.ltsu.ac.in/assets/frontend/css/style.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/style.css	(from https://ltsu.ac.in/)
19:01:03	17980/17980	---M-Z	200	added ('OK')	text/css	etag:%22463c-65fd84ea-59d705527b9225e3;gz%22	https://www.ltsu.ac.in/assets/frontend/css/dark.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/dark.css	(from https://ltsu.ac.in/)
19:01:03	67012/67012	---M-Z	200	added ('OK')	text/css	etag:%22105c4-6620b3e7-81948fee6d515ddb;gz%22	https://www.ltsu.ac.in/assets/frontend/css/responsive.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/css/responsive.css	(from https://ltsu.ac.in/)
19:01:03	75005/75005	---M--	200	added ('OK')	image/png	etag:%22124fd-6999d50c-7cf7107c201e4e6d;;;%22	https://www.ltsu.ac.in/assets/frontend/images/favicon.png	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/images/favicon.png	(from https://ltsu.ac.in/)
19:01:03	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-65fd84ea-a7d5a39f3648887d;gz%22	https://www.ltsu.ac.in/assets/frontend/font-awesome/css/font-awesome.min.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/font-awesome/css/font-awesome.min.css	(from https://ltsu.ac.in/)
19:01:05	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2016:10:07%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://ltsu.ac.in/)
19:01:05	6391/6391	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2029%20Jun%202026%2013:31:06%20GMT	https://fonts.googleapis.com/css2?family=Sabon+Next:wght@700&display=swap	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/fonts.googleapis.com/css2.108049.delayed	(from https://ltsu.ac.in/)
19:01:06	3465/3465	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2013:31:07%20GMT	https://widgets.in6.nopaperforms.com/emwgts.js	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/widgets.in6.nopaperforms.com/emwgts.html	(from https://ltsu.ac.in/)
19:01:06	444/444	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jun%202026%2013:31:08%20GMT	https://www.ltsu.ac.in/assets/frontend/images/ff.png	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.ltsu.ac.in/assets/frontend/images/ff.png	(from https://ltsu.ac.in/)
19:01:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Jun%202026%2013:31:09%20GMT	https://twitter.com/lamrinuniv	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/twitter.com/lamrinuniv.13.delayed	(from https://ltsu.ac.in/)
19:01:08	1256737/1256737	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2013:31:09%20GMT	https://www.facebook.com/lamrintechuniv/	D:/Dranox%20Nexer/Ethical%20Hacking/Duplicate%20websites/Websites/Project%201/me/www.facebook.com/lamrintechuniv/index.html	(from https://ltsu.ac.in/)
